Texto,Categoria
PROGRAMACION DE TELESUR Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
PROGRAMACIÓN DE TELESUR  Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
PROGRAMACIÓN DE TELESUR Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
Serie Documental,documental
Lengua Española 6to grado y Especial. - Pinar del Rio - 8:30 Preposiciones.,educativo
Lengua Española1er grado y Especial - Pinar del Rio - 9:00 r-rr.,educativo
Lengua Española 2do grado y Especial - Pinar del Rio - 9:30 Escritura de: la  los  las delante de los sustantivos. Redacción de párrafos.,educativo
Matemática 7mo grado y Especial - Pinar del Rio - 10:00 Propiedades fundamentales de los triángulos.,educativo
Historia de Cuba 9no grado y Especial - Pinar del Rio - 10:30 Situación de Cuba al iniciarse la ocupación militar.,educativo
Matemática 12mo grado y 3er año de la E.T.P. - Pinar del Rio - 11:00 Dominios numéricos en los reales.,educativo
Telecentros,noticias
Cartelera escolar de la semana Cartelera escolar de la semana.,noticias
Efemérides de la semana Efemérides de la semana.,historia
Matemática 10mo grado y 1er año de la E.T.P. - Pinar del Rio - 1:00 Ecuaciones fraccionarias y con radicales.,educativo
Matemática 11no grado y 2do año de la E.T.P. - Pinar del Rio - 1:30 Ecuaciones trigonométricas.,educativo
Lengua Española 4to grado y Especial - Pinar del Rio - 2:00 Tiempos fundamentales del verbo.,educativo
Lengua Española 5to grado y Especial - Pinar del Rio - 2:30 Lectura y comprensión de textos  reconocimiento de personajes.,educativo
La historia y sus protagonistas El Morro en la pintura.,historia
Telecentros,noticias
Ecos Entre dos aguas (Parte 2)    Sinopsis: Programa dedicado al Medio Ambiente que  desde la óptica joven comenta interesantes aspectos del tema seleccionado para cada emisión.,filme
De tarde en casa Le zumba la berenjena.,noticias
Serie Extranjera His Dark Materials) Capítulo 2 REINO UNIDO/AVENT/FANT/DRAM    Dirección: Jack Thorne INT: Dafne Keen  Tyler Howitt  Ian Peck  Ruta Gedmintas  Ruth Wilson Sinopsis: Lyra y Will son dos niños que  viven,filme
NTV Con lengua de Señas.,noticias
Música y más  Homenaje a Rolito (cantante del conjunto Roberto Fa) Sinopsis: Utilizando la música como pretexto  se recrean interesantes entrevistas con especialistas que brindan opiniones acerca del,filme
La Otra Mirada Una modelo desnuda  Olympia Eduard Manet. Sinopsis: Dedicado a la obra plástica de uno o varios artistas nacionales y extranjeros  con la presentación de documentales y otros materiales acerca del aut,filme
Bravo Concierto de Música sacra  Soprano cubana Johana Simons Sinopsis: Presenta esta puesta  con el comentario inicial del conductor  como antesala para el disfrute.,filme
Mesa Redonda      (rtx),noticias
CUBANOS EN CLIP  Cimafunk & Varios  F-CUBA & Haila Lizandra Porto  Roniel Alfonso & El Noro  Sol Caribe de Cuba Alex Duvall Yerbabuena Lenier Waño Diego Gutierrez  QVA Libre Leoni Torres Anacaona,musical
CONCIERTOS PREFERIDOS  Adele Live at the Royal Albert Hall (2011),musical
TROVA TV  Encuentro con Pablo Milanés,musical
AFRO RITMO  ADIOUZA - BUS BI   Ami Faku - Ubuhle Bakho  Aslay-Naenjoy  Avril x L Rice -  Kitoko 'Beautiful'  Christian bella Feat AY& Mwana FA _ PETE _  Flavour x Chidinma - Nkem   Kitoko - Wenema,musical
MOVIENDO  Talento: Los Carachi   el meaking of de baila casino   Elito Reve y su Charangon   Pascualito Cabreras y su Tumbao Habana ft Lele .,musical
CONCIERTOS Grandes Éxitos de los 90,musical
CONCIERTOS   Alain Pérez,musical
AIRES DE MÉXICO,musical
CONCIERTOS PREFERIDOS  Adele Live at the Royal Albert Hall (2011),musical
CONCIERTOS ONLINE   Familia Valera Miranda,musical
CUBANOS EN CLIP  Cimafunk & Varios  F-CUBA & Haila Lizandra Porto  Roniel Alfonso & El Noro  Sol Caribe de Cuba Alex Duvall Yerbabuena Lenier Waño Diego Gutierrez  QVA Libre Leoni Torres Anacaona,musical
CONCIERTOS Grandes Éxitos de los 90,musical
SERIE   Crazy Ex Girlfriend   Cap 13.  Temp 1,serie
AIRES DE MÉXICO,musical
AFRO RITMO  ADIOUZA - BUS BI   Ami Faku - Ubuhle Bakho  Aslay-Naenjoy  Avril x L Rice -  Kitoko 'Beautiful'  Christian bella Feat AY& Mwana FA _ PETE _  Flavour x Chidinma - Nkem   Kitoko - Wenema,musical
CONCIERTOS ONLINE   Familia Valera Miranda,musical
CUBANOS EN CLIP  Cimafunk & Varios  F-CUBA & Haila Lizandra Porto  Roniel Alfonso & El Noro  Sol Caribe de Cuba Alex Duvall Yerbabuena Lenier Waño Diego Gutierrez  QVA Libre Leoni Torres Anacaona,musical
DOCUMENTAL  Pavarotti                 Sobre la vida y obra de Luciano Pavarotti desde sus inicios hasta su desaparición física. Realizador: Ron Howard,documental
MULTICINE : EL TRANSPORTADOR Sinopsis: El ex operador de Fuerzas Especiales Frank Martin vive lo que parece ser una vida tranquila a orillas del Mediterráneo francés  donde presta sus servicios como un “transportador”.,filme
DOMINGO EN CASA : CRUCIGRAMA DE MISTERIOS: PROPUESTA DE MUERTE   Sinopsis: Cuando un viejo amigo de TessHarper  editora de crucigramas del periódico  es encontrado muerto el mismo día de su propuesta de matrimonio.,filme
CINEMA JOVEN: HARRY POTTER Y LA ORDEN DEL FENIX     Sinopsis: Las tediosas vacaciones en casa de sus tíos todavía no han acabado y Harry se encuentra más inquieto que nunca. Apenas ha tenido noticias de Ron y Hermione.,filme
CARTELERA CARTELERA,noticias
HOLA CHICO Kit Cat  Francy Nancy Clancy  Ricky Zoom  Miss Moon,infantiles
ANIMADOS : Bitz y Bot  Título:  El rescate de la princesa,infantiles
DOCUMENTAL : Vida desafíos de la vida Título: Vida desafíos de la vida,documental
UTILISIMO :  Decoración Creativa  Tema: Técnica zentangle  cuadro simil tiza  mariposas decorativas,educativo
DOCUMENTAL : Milenario Perú. La historia inexplorada Sinopsis: Documental sobre la historia más desconocida e inexplorada del Perú.,historia
La ciencia de lo absurdo Tema: Resistencia hidrodinámica  direccionalidad y fuerzas descentradas,documental
CINE DE COMEDIA :  ( Ciclo Louis de Funés)    Jo  un cadáver Revoltoso Sinopsis Comedia de intriga que gira en torno al plan que ha tramado un escritor para cometer el crimen perfecto.,filme
SET Y CINE Un tributo a Casablanca,filme
ASI ES CHINA : El festival del bote del dragón 1. SINOPSIS: China  un país lleno de bellas y asombrosas tradiciones culturales  hoy nos acerca al maravilloso festival del bote del dragón.,filme
FACILISIMO  ¿Cuál es la respuesta? ¨La princesa Hipo hace ejercicios  Averiguando cosas ¨Mano Robótica¨  Miracolous ¨Oso maloso¨,educativo
SERIE INFANTIL :  AVATAR      TEMP 3      CAP 13             Los maestros del fuego control,serie
SERIE  JUVENIL :  KYLE XY   2DA TEMP   KYLE XY   2DA TEMP   Cap. 9,serie
ANTES Y DESPUES   Juan Carlos Baglietto - Carta de un león a otro - Eclipse de mar - La vida es una moneda - Juan Carlos Baglietto & Silvina Garré - Era en abril,musical
SERIE :   Hermanos y Hermanas    TEMP 4  Fin de Temp   Hermanos y Hermanas    TEMP 4     Cap 23      Fin de Temp,serie
CARTELERA CARTELERA,noticias
DOCUMENTAL : África Incomparable el Sahara Título: África Incomparable el Sahara,documental
ENTREVISTA : Serguéi Krikaliov  cosmonauta ruso. SINOPSIS: Pasa el rato con reconocidas personalidades de la cultura latinoamericana y europea. Políticos  deportistas  artistas  gente de las más variadas esferas.,filme
UTILISIMO :   Decoración Creativa  Tema: Técnica zentangle  cuadro simil tiza  mariposas decorativas,educativo
FACILISIMO ¿Cuál es la respuesta? ¨La princesa Hipo hace ejercicios  Averiguando cosas ¨Mano Robótica¨  Miracolous ¨Oso maloso¨,educativo
SERIE INFANTIL : AVATAR      TEMP 3   CAP 13    Los maestros del fuego control,serie
La ciencia de lo absurdo Tema: Resistencia hidrodinámica  direccionalidad y fuerzas descentradas,documental
SERIE :  Friends      7ma temp          Friends      7ma temp          Cap.21,serie
DOCUMENTAL : Milenario Perú. La historia inexplorada Sinopsis: Documental sobre la historia más desconocida e inexplorada del Perú.,historia
SERIE : MENTES CRIMINALES.    TEMP 1      Fin de Temp MENTES CRIMINALES.         TEMP 1          Cap   22           Fin de Temp,serie
SERIE : Goliath         3ra Temp      Goliath         3ra Temp           Cap 5,serie
SERIE JUVENIL :  KYLE XY   2DA TEMP  KYLE XY   2DA TEMP   Cap. 9,serie
CARTELERA CARTELERA,noticias
SERIE : Hermanos y Hermanas    TEMP 4    Fin de Temp  Hermanos y Hermanas    TEMP 4     Cap 23       Fin de Temp,serie
CINE DE COMEDIA :  ( Ciclo Louis de Funés)    Jo  un cadáver Revoltoso Sinopsis Comedia de intriga que gira en torno al plan que ha tramado un escritor para cometer el crimen perfecto.,filme
CARIBE NOTICIAS EMISIÓN DE CIERRE.,noticias
EN LA MADRUGADA SU CARTELERA Promoción de la programación,noticias
TELECINE  Doble Identidad Un médico estadounidense que se encuentea en Chechenia por motivos laborales es testigo de un asalto y ayuda a la víctima  una misteriosa mujer  a huir.  Doble Identidad Título Original: Fake Identity  Estados Unidos/2009/89 min/Thriller/ Reposición/Color Reparto: Val Kilmer  Izabella Miko  Zahary Baharv Sinopsis: Un médico estadounidense que se encuentea en Chechenia por motivos laborales es testigo de un asalto y ayuda a la víctima  una misteriosa mujer  a huir. Desdee ese momento su vida también corre peligro.,filme
TELECINE CONTROL  Película sobre los últimos años de Ian Curtis  el enigmático cantante de la banda Joy Division e icono del post-punk inglés  hasta su trágico suicidio en 1980.  CONTROL  Reino Unido-Estados Unidos/2007/121’/Drama/Estreno/Blanco-Negro/ Subtítulos en español Dir: Anton Corbijn   Guion: Matt Greenhalgh (Libro: Deborah Curtis) Reparto: Sam Riley  Samantha Morton  Craig Parkinson  Alexandra Maria Lara  Joe Anderson  James Anthony Pearson  Toby Kebbell… Sinopsis: Película sobre los últimos años de Ian Curtis  el enigmático cantante de la banda Joy Division e icono del post-punk inglés  hasta su trágico suicidio en 1980. Cómo le afectó el dramático conflicto entre el gran amor que sentía por su esposa y la apasionada relación con su amante  sus ataques de epilepsia  su extraordinario talento y sus arrolladoras actuaciones en directo.,filme
REVISTA BUENOS DÍAS REVISTA INFORMATIVA,noticias
EN LA MAÑANA SU CARTELERA Promoción de la programación,noticias
CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID -19 CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID -19,noticias
A la 1  a las 2 y a las 3! Un tiempo para los niños de la primera infancia donde pueden encontrarse con la naturaleza  el mundo que los rodea y las vivencias de otros niños y niñas como ellos Título:,infantiles
Trompatren  Vecinos de las estrellas  La banda se encuentra con dos flamencos en el desierto de Atacama   Vecinos de las estrellas  La banda se encuentra con dos flamencos en el desierto de Atacama,infantiles
A OTRO CON ESE CUENTO  A OTRO CON ESE CUENTO,humor
AL MEDIODIA  Promoción de la programación,noticias
NOTICIERO DEL MEDIODIA EMISIÓN DEL MEDIODÍA,noticias
EN LA TARDE SU CARTELERA Promoción de la programación,noticias
SENDEROS DEL OESTE Emboscada Un explorador del ejército y trampero llamado Yellowstone Kelly  después de una visita a un fuerte  toma a su cargo la formación de un joven inexperto... Emboscada Título original Yellowstone Kelly  EE UU/1959/1´31´48/Western/Estreno/Color/Subtitulada Dirección Gordon Douglas Reparto Clint Walker  Edd Byrnes  John Russell  Ray Danton  Claude Akins  Rhodes Reason  Andra Martin  Gary Vinson  Warren Oates Sinopsis Un explorador del ejército y trampero llamado Yellowstone Kelly  después de una visita a un fuerte  toma a su cargo la formación de un joven inexperto y se dirigen a pasar el invierno junto al río Snake  en territorio Sioux. completamientos: LEYENDAS DEL OESTE CAP 26  EL OESTE EN ANIMADOS HOLA LLAMIGO  EL CLIP DEL OESTE CANTA RANDY HOUSER TEMA ME GUSTA SER VAQUERO  PROXIMAMENTE BADLAND  EL FILME DE HOY COMENTARIO EMBOSCADA,filme
NOTICIERO ANSOC EMISIÓN ESPECIALIZADA,noticias
EL AMANECER DE LOS CROODS  Grug contra “las mates” / Baile prohibido Grug contra “las mates” / Baile prohibido Grug intenta aprender una técnica para cazar que exige inteligencia en lugar de fuerza. Los adolescentes organizan un club clandestino cuando se prohíbe el baile.,infantiles
OTAKU  Prog. 11 Géneros de los animes y mangas. Prog. 11 Géneros de los animes y mangas. El locutor le enseña al Repartero cuál es la diferencia entre manga y anime y cuáles son los diferentes tipos y géneros de animes. Incluye musical y noticias.,musical
ESTE DIA    1616: Fallece Bautista Antonelli. España. 1732: Nace George Washington. Estados Unidos. 1976: Fallece Dulce María Escalona. Cuba.  1616: Fallece Bautista Antonelli. España. Bautista Antonelli  ingeniero militar italiano al servicio del rey de España Felipe II  nació en Rímini en fecha desconocida.Una de las características más importantes de sus construcciones fue la adaptación de sus proyectos al medio geográfico. 1732: Nace George Washington. Estados Unidos. Su papel como Comandante en Jefe del ejército Continental  fue decisivo en la victoria de las Trece Colonias de Norteamérica frente a Gran Bretaña.Al organizar la Convención Constitucional de 1787 fue elegido presidente en 1788 y nuevamente en 1792. 1976: Fallece Dulce María Escalona. Cuba. Se graduó de doctora en Pedagogía y en Ciencias Físico Matemáticas.Impartió clases en diversas universidades cubanas incluyendo la Universidad Popular José Martí  creada por Julio Antonio Mella  con quien mantuvo una estrecha relación  al igual que con Pablo de la TorrienteBrau  Raúl Roa y Juan Marinello.Al triunfo de la Revolución se encontraba jubilada  pero regresó a las aulas y fundó y dirigió el Instituto Superior Pedagógico Enrique José Varona.,historia
NOTICIERO CULTURAL    INFORMATIVO CULTURAL,noticias
MESA REDONDA ESPACIO DE ANÁLISIS DE TEMAS NACIONALES Y FORÁNEOS.,noticias
NTV EMISIÓN ESTELAR,noticias
EN LA NOCHE SU CARTELERA Promoción de la programación,noticias
VIVIR DEL CUENTO  Título: ¿Para qué son los Amigos?  Título: ¿Para qué son los Amigos?    Guión: Jaime Fort     Invitados: Luis E. Carreres y Roberto Perdomo  Sinopsis: Hasta la casa de Pánfilo llegan: Ruperto  Chequera y Chacón cada uno queriendo que el viejo lo ayude en algo. Y todo se va complicando por el camino.,filme
NOVELA Mujeres Ambiciosas  Cap. 8 Mujeres Ambiciosas  Cap. 8,novela
COSAS DE HOMBRES TEMA:Machismo Sobre distintos temas que están inmersos en la masculinidad  que es una combinación de  factores definido social y biológicamente trata este primer capítulo. TEMA:Machismo.  Invitados: Omar Franco / Actor Artes Escénicas Víctor Fowler/ Ensayista y Crítico Literario UNEAC Rochy Ameneiro / Cantante Centro Nacional de Música Popular David Blanco / Músico Centro Nacional de Música Popular Sinopsis: Se dice que los varones deben ser machistas o en caso contrario  se les considerarían débiles e indefinidos. Sobre distintos temas que están inmersos en la masculinidad  que es una combinación de  factores definido social y biológicamente trata este primer capítulo.,filme
HISTORIA DEL CINE  Cenizas y diamantes  Al terminar la II Guerra Mundial  un joven guerrillero recibe la orden de asesinar a un viejo dirigente del Partido Comunista... Cenizas y diamantes Popiól i diament  Polonia/1958/107'/Drama/Reposición/B-N/Subtítulos en español  Dir: Andrzej Wajda.  Reparto: Zbigniew Cybulski  Ewa Krzyzewska  Waclaw Zastrzezynski  Adam Pawlikowski  Bogumil Kobiela… Al terminar la II Guerra Mundial  un joven guerrillero recibe la orden de asesinar a un viejo dirigente del Partido Comunista. Según la novela homónima de Jerzy Andrzejezwski. Última entrega de la Trilogía de la resistencia  precedida por Generación y Kanał.,filme
COORDENADAS Cartelera diaria,noticias
EL TIEMPO Y LA MEMORIA Efemérides de hoy:,historia
COORDENADAS Cartelera diaria,noticias
REVISTA HOLA HABANA Secciones variadas sobre el acontecer en La Habana,noticias
HABANA NOTICIARIO Informativo que aborda los principales sucesos de orden nacional enfatizando en los de marcodo interés para la capital,noticias
MÚSICA HABANA Invitado: F Cuba I,musical
SECUENCIA POR CICLOS Tema: Documental Sergio Corrieri  más allá de “memorias” … de la directora Luisa Marisy.,documental
MÚSICA SÍ Tema: Michael Jackson. Live history Munich 1997,musical
BREVES ESTACIONES Tema:Obra del realizador Luis Hidalgo Ramos. Documental “Desde un castillo en ruinas”  sobre Marcelina Rodríguez Quintana.,documental
NOVELA “LATIDOS COMPARTIDOS” CAP 86,novela
HABANA NOTICIARIO Informativo que aborda los principales sucesos de orden nacional e internacional enfatizando en los de marcado interés para la capital,noticias
"SERIE ""PERSONA DE INTERÉS"" TEMP5 CAP7",serie
NTV DEL MEDIODIA Informaciones nacionales e internacionales. Análisis y comentarios.,noticias
ESTACION CARIBE   Información sociocultural de la región del Caribe acompañada de la música más genuina.,musical
REVISTA INFORMATIVA EN TIEMPO REAL. Revista informativa con segmentos temáticos y  actualización nacional e internacional.,noticias
SERIE DOCUMENTAL. La Nueva Ruta de la Seda 9 Programa de CGTN que aborda temas sociopolítcos y económicos vinculados con China.,documental
NOTICIERO CULTURAL  Informaciones culturales  artísticas y literarias. Segmentos de comentario  crítica e invitados.,noticias
MESA REDONDA  Espacio de información y debate.,noticias
NTV EMISION ESTELAR  las mas importantes  informaciones nacionales e internacionales.,noticias
CONFERENCIA DE PRENSA MINSAP. Información oficial sobre la Covid19 en Cuba.,noticias
EL TIEMPO EN EL CARIBE.  Información meteorológica de la región.,noticias
NOTICIERO CULTURAL Informaciones culturales  artísticas y literarias. Segmentos de comentario  crítica e invitados.,noticias
RESUMEN 24 Resumen informativo de la jornada.,noticias
Documental: Soy como soy  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
Cubanoticias 1 RTX Cubanoticias 1 RTX,noticias
Orígenes: La mujer en la inteligencia mambisa  Programa que aborda la historia de lugares  ciencias y otros temas que distinguen al Archipiélago cubano,historia
Verde Habana: Cultivo de Bromelias  Experiencias técnico prácticas de la agricultura urbana en La Habana orientadas hacia el cuidado del medio ambiente y el hombre  así como iniciativas domésticas en el cultivo de diversas especies.,educativo
El Motor de Arranque RTX: Música  humor  imitaciones y más  en un programa de televisión nacido en Canal Habana  que ahora llega en una nueva temporada donde se reúnen numerosos humoristas cubanos y figuras invitadas,musical
A todo Jazz: Rodrigo García Espacio para promover todo el quehacer jazzístico que se cultiva en Cuba y las producciones discográficas asociadas al género,musical
Documental: Soy como soy Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país.,documental
ENCADENAMIENTO REVISTA BUENOS DÍAS ENCADENAMIENTO REVISTA BUENOS DÍAS,noticias
Documental: Soy como soy  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
Orígenes: La mujer en la inteligencia mambisa  Programa que aborda la historia de lugares  ciencias y otros temas que distinguen al Archipiélago cubano,historia
Verde Habana: Cultivo de Bromelias  Programa sobre experiencias técnico prácticas de la agricultura urbana en La Habana orientadas hacia el cuidado del medio ambiente y el hombre,educativo
CONFERENCIA DE PRENSA  CONFERENCIA DE PRENSA,noticias
NOTICIAS.CU EN VIVO NOTICIAS.CU EN VIVO,noticias
ZONA DEPORTIVA EN VIVO ZONA DEPORTIVA EN VIVO,deporte
El Motor de Arranque RTX: Música  humor  imitaciones y más  en un programa de televisión nacido en Canal Habana  que ahora llega en una nueva temporada donde se reúnen numerosos humoristas cubanos y figuras invitadas,musical
Documental: Soy como soy Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país.,documental
A todo Jazz: Rodrigo García Espacio para promover todo el quehacer jazzístico que se cultiva en Cuba y las producciones discográficas asociadas al género,musical
CUBANOTICIAS 2 EN VIVO CUBANOTICIAS 2 EN VIVO,noticias
El Motor de Arranque RTX:  Música  humor  imitaciones y más  en un programa de televisión nacido en Canal Habana  que ahora llega en una nueva temporada donde se reúnen numerosos humoristas cubanos y figuras invitadas,musical
Verde Habana: Cultivo de Bromelias  Sesiones con músicos cubanos en diferentes lugares de La Habana  bajo la conducción del cantautor Mauricio Figueiral.,educativo
CONFERENCIA DE PRENSA RTX CONFERENCIA DE PRENSA RTX,noticias
CUBANOTICIAS 1 EN VIVO CUBANOTICIAS 1 EN VIVO,noticias
Noticiero Cultural EN VIVO Noticiero Cultural EN VIVO,noticias
Mesa Redonda EN VIVO Mesa Redonda EN VIVO,noticias
Orígenes: La mujer en la inteligencia mambisa  Programa que aborda la historia de lugares  ciencias y otros temas que distinguen al Archipiélago cubano,historia
Verde Habana: Cultivo de Bromelias  Programa sobre experiencias técnico prácticas de la agricultura urbana en La Habana orientadas hacia el cuidado del medio ambiente y el hombre,educativo
A todo jazz: Rodrigo García Espacio para promover todo el quehacer jazzístico que se cultiva en Cuba y las producciones discográficas asociadas al género  a partir del prestigio alcanzado en el mundo por nuestros músicos,musical
CUBANOTICIAS 1 RTX CUBANOTICIAS 1 RTX,noticias
Mesa Redonda RTX Mesa Redonda RTX,noticias
REVISTA BUENOS DÍAS REVISTA INFORMATIVA,noticias
EN LA MAÑANA SU CARTELERA Promoción de la programación,noticias
CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID -19 CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID -19,noticias
A la 1  a las 2 y a las 3! Un tiempo para los niños de la primera infancia donde pueden encontrarse con la naturaleza  el mundo que los rodea y las vivencias de otros niños y niñas como ellos Título:,infantiles
Trompatren  Vecinos de las estrellas  La banda se encuentra con dos flamencos en el desierto de Atacama   Vecinos de las estrellas  La banda se encuentra con dos flamencos en el desierto de Atacama,infantiles
A OTRO CON ESE CUENTO  A OTRO CON ESE CUENTO,humor
AL MEDIODIA  AL MEDIODIA,noticias
NOTICIERO DEL MEDIODIA,noticias
SERIE  EL MENTALISTA  CAPT 44  EL MENTALISTA  CAPT 44,serie
EL AMANECER DE LOS CROODS  Grug contra “las mates” / Baile prohibido Grug contra “las mates” / Baile prohibido Grug intenta aprender una técnica para cazar que exige inteligencia en lugar de fuerza. Los adolescentes organizan un club clandestino cuando se prohíbe el baile.,infantiles
OTAKU  Prog. 11 Géneros de los animes y mangas. Prog. 11 Géneros de los animes y mangas. El locutor le enseña al Repartero cuál es la diferencia entre manga y anime y cuáles son los diferentes tipos y géneros de animes. Incluye musical y noticias.,musical
LUCAS talentos: Gretchen Grey -Rey Montalvo y Silvio Rodríguez -Bocarriba -Luis Franco -Leonardo García  -El Birbo Music feat Angel El White  talentos: Gretchen Grey -Rey Montalvo y Silvio Rodríguez -Bocarriba -Luis Franco -Leonardo García  -El Birbo Music feat Angel El White  La puerta -Discurso de invierno -Dime  baby -Sueños -Bailando en la telaraña -Te equivocaste  temas musicales: -La puerta -Discurso de invierno -Dime  baby -Sueños -Bailando en la telaraña -Te equivocaste,musical
SERIE JUVENIL EXTRANJERA    LOBO ADOLESCENTE CAP 6 TEMP 3  LOBO ADOLESCENTE CAP 6 TEMP 3,serie
NTV EMISIÓN ESTELAR,noticias
EN LA NOCHE SU CARTELERA Promoción de la programación,noticias
VIVIR DEL CUENTO  Título: ¿Para qué son los Amigos?  Título: ¿Para qué son los Amigos?    Guión: Jaime Fort     Invitados: Luis E. Carreres y Roberto Perdomo  Sinopsis: Hasta la casa de Pánfilo llegan: Ruperto  Chequera y Chacón cada uno queriendo que el viejo lo ayude en algo. Y todo se va complicando por el camino.,filme
NOVELA Mujeres Ambiciosas  Cap. 8 Mujeres Ambiciosas  Cap. 8,novela
Telecine El Ultimo Disparo El joven padre Will lleva a su familia de viaje a una cabaña en el bosque.  Por el camino  el Jefe de Policía les aconseja tener cuidado  pues ha habido un robo en el banco local...  El Ultimo Disparo  Título original: First Kill  Año: 2017 Duración: 97 min. País: Estados Unidos Estados Unidos Dirección:Steven C. Miller  Género:Thriller Reparto: Bruce Willis  Hayden Christensen  Gethin Anthony  Charlotte Kirk  Magi Avila  Heather Johansen     Sinopsis:El joven padre Will (Hayden Christensen) lleva a su familia de viaje a una cabaña en el bosque. Por el camino  el Jefe de Policía (Bruce Willis) les aconseja tener cuidado  pues ha habido un robo en el banco local. Mientras están de caza  Will y su hijo Danny son testigos del intento de asesinato de un hombre tras otro intento de atraco a un banco  que esta vez ha salido mal.,filme
INFORME COVID-19 Parte actualizado sobre la COVID-19 EN EL TERRITORIO.,noticias
VISIÓN 27 Revista Informativa Variada,noticias
Portada Tele Pinar Capsula informativa con adelantos de la emisión de Tele Noticias en la tarde.,noticias
PASADO PRESENTE  Programa Histórico Efemérides,historia
Tele Noticias Noticiero,noticias
Carteleras Carteleras que promocionan la programación diaria,noticias
Efemérides Hoy en la historia Programa que muestra las efemérides municipales  nacionales e internacionales.,historia
Encuentro de Lunes Revista con el fin de educar  informar y formar valores en el pueblo  dedicada fundamentalmente a temas deportivos.,deporte
Sintonía deportiva Programa para informar el acontecer deportivo municipal  nacional e internacional.,deporte
Noticiario Islavisión Programa para informar al pueblo del acontecer municipal y nacional.,noticias
BOLETÍN INFORMATIVO Espacio informativo que ofrece a los granmenses el adelanto de las principales noticias del día.,noticias
LA NUEVA FUERZA Artistas del territorio comparten su talento para llegar a los hogares aportando una nueva fuerza musical.,musical
NOTICIERO EN DIRECTO En directo llegan las informaciones noticiosas más relevantes de Granma.,noticias
